text	intent
告訴我從費城飛往達拉斯的是停在亞特蘭大的航班	機票
我需要從巴爾的摩飛往達拉斯星期二晚上	飛行
從紐瓦克飛往克里夫蘭每天下午5點航班	飛行
給我的波士頓和丹佛之間的航班	飛行
讓我從舊金山到波士頓費城或巴爾的摩的所有航班	飛行
顯示波士頓和丹佛之間的航班	飛行
什麼是週三的最新航班會從亞特蘭大到華盛頓特區	飛行
什麼是從巴爾的摩到舊金山週五八月三十最便宜的機票	飛行
I'd像從丹佛一張票，亞特蘭大與匹茲堡停留這是可能	機票
我想舊金山美國航空公司航班從巴爾的摩在丹佛停止	機票
什麼是車費去的一種方式在十一月十七從丹佛飛往奧克蘭	飛行
有沒有在美國聯合航空公司從波士頓到丹佛航班	機票
告訴我從費城到亞特蘭大晚上航班	飛行
給我看在費城地面上週一早上交通	飛行
我想從多倫多到聖地亞哥的美國飛機在丹佛停留請	飛行
什麼才是從奧克蘭最便宜的單程飛行到波士頓	飛行
我想從巴爾的摩飛往達拉斯往返	飛行
告訴我，從亞特蘭大到匹茲堡的航班單程	飛行
上週日從坦帕飛往夏洛特的航班	飛行
找到從達拉斯往返航班飛往匹茲堡的行程安排	飛行
什麼是最便宜的單程票價從波士頓飛往匹茲堡	飛行
什麼是在當天的最新航班從巴爾的摩在波士頓抵達	機票
什麼是從丹佛飛往匹茲堡最便宜的航班	飛行
告訴我從丹佛飛往匹茲堡和亞特蘭大的航班	飛行
確實TWA必須從印第安納波利斯到休斯敦飛行抵達上午11時	飛行
我需要知道什麼航班離開亞特蘭大在週日晚上和巴爾的摩抵達	飛行
I'd喜歡找從奧蘭多美國空中飛行克利夫蘭到達10點左右，晚上	飛行
請列出從拉斯維加斯到紐約和票價TWA航班	飛行
從達拉斯到舊金山的所有航班	飛行
什麼才是從舊金山到巴爾的摩的最低票價	飛行
告訴我到波士頓的航班奧克蘭	機票
我需要坐飛機離開費城亞特蘭大	飛行
我想找到北卡羅萊納州夏洛特拉斯維加斯我飛行想在日停留。路易	飛行
請告訴我任何美聯航航班包括5晚上波士頓和舊金山之間的連接	飛行
從辛辛那提到奧黑爾718後起飛的航班是美國人	飛行
希望從華盛頓到沃斯堡飛行	飛行
從伯班克到丹佛列表直達航班於下午6時抵達	飛行
顯示我要離開航空公司匹茲堡去舊金山參加下週一的日程	飛行
給我從夏洛特到巴爾的摩上午航班	飛行時間
列出從費城到舊金山的所有美聯航航班	飛行
我想從密爾沃基飛往奧蘭多	飛行
有沒有從波士頓到亞特蘭大的飛行這讓波士頓在下午和到達接近下午5點	飛行
讓我從一個密爾沃基方式飛往奧蘭多的航班離開上週三上午	飛行
告訴我所有的伯班克的航班	飛行
告訴我飛機，加拿大的航空公司使用	飛行
是的，我住在華盛頓，我想對舊金山之旅，其航空公司可能我用這行	飛機
請列出航班從亞特蘭大到費城	飛行
從拉瓜迪亞和肯尼迪國際機場飛往克里夫蘭的航班	飛行
告訴我美國航空公司航班上週三離開菲尼克斯和密爾沃基到達	飛行
顯示在漢莎航空公司的所有航班從波士頓	飛行
你能告訴我，波士頓和舊金山之間最便宜的航班	飛行
我想看到從巴爾的摩到費城的航班，請	飛行
給我從亞特蘭大到巴爾的摩航班	飛行
我希望有一個航班離開紐瓦克飛往洛杉磯的葉子在上午	飛行
從列出巴爾的摩飛往西雅圖的航班是停在明尼阿波利斯	飛行
我需要從匹茲堡到紐約的航班下午5點以後出發	飛行
告訴我從鳳凰城到密爾沃基的美國航空公司在週三的所有航班	飛行
這是達拉斯和巴爾的摩之間最便宜的航班七月十九	飛行
讓我從舊金山到丹佛的所有航班	飛行
該航空公司巴爾的摩和舊金山之間飛行	飛行
什麼航空公司從波士頓飛往丹佛	航空公司
休斯頓和拉斯維加斯之間往返航班	航空公司
什麼美國航空公司航班密爾沃基出發鳳凰在週六或週日	飛行
我在尋找，從安大略去威徹斯特和芝加哥停止飛行	飛行
什麼是最便宜的單程機票從丹佛飛往匹茲堡	飛行
什麼樣的航空公司從波士頓航班UA 281丹佛	機票
該航空公司波士頓和費城之間飛	航空公司
從巴爾的摩華盛頓機場到奧克蘭列表直達航班起程下午	航空公司
請列出的票價為所有從亞特蘭大到費城的航班八月第一	飛行
告訴我紐瓦克新澤西的是去航班從圣迭戈由休斯頓方式	機票
什麼航班有從達拉斯到匹茲堡在星期一早上	飛行
一種飛機是從費城一流的美國航空公司飛往舊金山達拉斯停止使用了什麼	飛行
什麼是往返票一流的奧克蘭和亞特蘭大之間的成本	飛機
我需要在週六從費城飛往達拉斯航班航班信息	機票
什麼夜航你從舊金山有丹佛八月第二十七個晚上團結	飛行
什麼是從費城飛往達拉斯的航班上月1991年第一	飛行
列出從波士頓到丹佛所有週二晚上航班	飛行
什麼匹茲堡和巴爾的摩之間的可用航班八月十一	飛行
我想從丹佛飛往匹茲堡的航班，然後從匹茲堡飛往亞特蘭大然後從亞特蘭大回到匹茲堡回到丹佛	飛行
給我從紐瓦克飛往坦帕航班上週五	飛行
是什麼從匹茲堡到巴爾的摩的航班	飛行
列出從達拉斯到舊金山的美國航空公司航班	飛行
什麼下午航班從匹茲堡飛往亞特蘭大在平日	飛行
什麼是縮寫UA均值	飛行
I'd喜歡舊金山美國聯合航空公司航班從達拉斯是815點以後的葉子	縮寫
什麼是從達拉斯到波士頓的美國航空公司928航班票價	飛行
從印第安納波利斯到華盛頓州西雅圖的航班	機票
該航空公司是最便宜的，從達拉斯飛往巴爾的摩十二月廿四	飛行
有多少是波士頓和華盛頓之間的往返頭等艙票價	航空公司
I'd喜歡尋找從坦帕到蒙特利爾的航班，使停止在紐約	機票
表明離開費城是去亞特蘭大在星期四一早離開航班	飛行
